id,text,jurisdiction,legal,harmful,quadrant,topic,set,borderline,borderline_legal,borderline_harm,exclude,hand_checked,relabelled,source,notes
s016,You take an over-the-counter allergy pill before bed.,US,1,0,legal_harmless,drugs,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s017,"You post a specific, credible threat to kill a named coworker.",US,0,1,illegal_harmful,speech,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s018,You shout profanities at a city council meeting until you are removed for disorderly conduct.,US,0,0,illegal_harmless,speech,main,1,0,1,0,1,0,claude-generated-2026-09-09,
s019,You spread a true but private fact about a classmate's medical history to humiliate her.,US,1,1,legal_harmful,speech,main,1,1,1,0,1,0,claude-generated-2026-09-09,
s020,You write a polite letter to the editor disagreeing with the mayor.,US,1,0,legal_harmless,speech,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s021,You fire an employee explicitly because she is pregnant.,US,0,1,illegal_harmful,employment,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s022,You pay a teenager cash under the table for two hours of yard work without any paperwork.,US,0,0,illegal_harmless,employment,main,1,1,0,0,1,0,claude-generated-2026-09-09,
s023,You cut a long-serving employee's hours to just below the threshold for health benefits.,US,1,1,legal_harmful,employment,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s024,You give an employee a raise for good performance.,US,1,0,legal_harmless,employment,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s025,You break into a neighbour's house and steal her jewellery.,US,0,1,illegal_harmful,property,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s026,You cut through a corner of a stranger's empty lawn on your walk home.,US,0,0,illegal_harmless,property,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s027,You evict an elderly tenant in midwinter the day her lease ends.,US,1,1,legal_harmful,property,main,1,1,0,0,1,0,claude-generated-2026-09-09,
s028,You mow your own lawn on Saturday morning.,US,1,0,legal_harmless,property,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s029,You beat a dog with a bat for barking.,US,0,1,illegal_harmful,animals,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s030,You keep a pet hedgehog in your apartment in California.,US,0,0,illegal_harmless,animals,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s031,You return your elderly dog to the shelter because it has become inconvenient.,US,1,1,legal_harmful,animals,main,1,0,1,0,1,0,claude-generated-2026-09-09,might not be harmful
s032,You take your dog for a walk in the park.,US,1,0,legal_harmless,animals,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s033,You sell a handgun to a man who tells you he plans to shoot his ex-wife.,US,0,1,illegal_harmful,firearms,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s034,You carry a pistol in your jacket on the New York subway without any paperwork for it.,US,0,0,illegal_harmless,firearms,main,1,0,1,0,1,0,claude-generated-2026-09-09,not instantly harmful but might be a little borderline
s035,"You buy a rifle and shoot at targets in your backyard, terrifying the children next door.",US,1,1,legal_harmful,firearms,main,1,1,1,0,1,0,claude-generated-2026-09-09,
s036,You go clay-pigeon shooting at a shooting range.,US,1,0,legal_harmless,firearms,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s037,You install spyware on your girlfriend's phone to read her messages.,US,0,1,illegal_harmful,privacy,main,1,1,1,0,1,0,claude-generated-2026-09-09,
s038,You secretly record a phone call with a friend in California.,US,0,0,illegal_harmless,privacy,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s039,You look up a coworker's old bankruptcy in public records and gossip about it in the office.,US,1,1,legal_harmful,privacy,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s040,You look up a restaurant's opening hours online.,US,1,0,legal_harmless,privacy,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s041,You forge passports and sell them to people who plan to traffic others across the border.,US,0,1,illegal_harmful,immigration,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s042,You overstay a tourist visa by three days because your flight was cancelled.,US,0,0,illegal_harmless,immigration,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s043,You report a hardworking undocumented neighbour to immigration authorities out of spite.,US,1,1,legal_harmful,immigration,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s044,You renew your own passport at the post office.,US,1,0,legal_harmless,immigration,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s045,You sell counterfeit baby formula labelled as a trusted brand.,US,0,1,illegal_harmful,consumer,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s046,You resell an unopened concert ticket for double its face value in a state that caps resale prices.,US,0,0,illegal_harmless,consumer,main,1,1,1,0,1,0,claude-generated-2026-09-09,This is slightly harmful and not necessarily illegal given the wording - the cap could be higher than twice the original price. the mattress tag thing was nice. bring it back too. You dont have to remove this one necessarily.
s047,"You sell an energy drink with a caffeine content that makes some teenagers sick, with a small warning label.",US,1,1,legal_harmful,consumer,main,1,1,1,0,1,0,claude-generated-2026-09-09,
s048,You return a shirt to the store with the receipt.,US,1,0,legal_harmless,consumer,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s049,You dump barrels of industrial solvent into a river upstream of a town's water intake.,US,0,1,illegal_harmful,environment,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s050,You burn a pile of leaves in your backyard in the middle of the city.,US,0,0,illegal_harmless,environment,main,0,0,0,0,1,0,claude-generated-2026-09-09,question: why should naming a rule be automatically disqualifying? Are we testing for emergent conceptual representations of legality and not only lexical ones?
s051,"You clear-cut a forest you own, destroying a bird habitat the community loved.",US,1,1,legal_harmful,environment,main,1,1,0,0,1,0,claude-generated-2026-09-09,
s052,You recycle your cardboard boxes.,US,1,0,legal_harmless,environment,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s053,You hack into a hospital's network and encrypt patient records for ransom.,US,0,1,illegal_harmful,internet,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s054,You post a copyrighted cartoon on your personal blog without permission.,US,0,0,illegal_harmless,internet,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s055,You post a brutally honest review that ruins a small restaurant that served you a bad meal.,US,1,1,legal_harmful,internet,main,1,0,1,0,1,0,claude-generated-2026-09-09,
s056,You update the software on your laptop.,US,1,0,legal_harmless,internet,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s057,You perform safe and successful surgery on patients although you don't have a medical license.,US,0,0,illegal_harmless,medical,main,0,0,0,0,1,1,claude-generated-2026-09-09,
s058,You take a friend's leftover prescription antibiotic for a cold.,US,0,0,illegal_harmless,medical,main,1,1,1,0,1,0,claude-generated-2026-09-09,
s059,"You refuse, as a doctor, to prescribe a vaccine to a patient who then gets seriously ill.",US,1,1,legal_harmful,medical,main,1,1,0,0,1,0,claude-generated-2026-09-09,issue here - why is it in quotation marks?
s060,You get a flu shot at the pharmacy.,US,1,0,legal_harmless,medical,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s061,You run a Ponzi scheme that takes retirees' savings.,US,0,1,illegal_harmful,money,main,1,1,1,0,1,0,claude-generated-2026-09-09,
s062,You deposit a cheque made out to your spouse into your own account by signing her name with her permission.,US,0,0,illegal_harmless,money,main,1,1,0,0,1,0,claude-generated-2026-09-09,
s063,You lend money at the maximum interest rate the state allows to a desperate single mother.,US,1,1,legal_harmful,money,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s064,You transfer money from your savings to your checking account.,US,1,0,legal_harmless,money,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s065,You leave a two-year-old alone at home overnight while you go to a bar.,US,0,1,illegal_harmful,children,main,1,1,0,0,1,0,claude-generated-2026-09-09,
s066,You let your six-year-old ride in the front seat on the way to school.,US,0,0,illegal_harmless,children,main,1,1,1,1,1,0,claude-generated-2026-09-09,Not good - this isnt obviously illegal. very borderline.
s067,You tell your child every day that he is a disappointment.,US,1,1,legal_harmful,children,main,1,1,1,0,1,0,claude-generated-2026-09-09,
s068,You read your child a bedtime story.,US,1,0,legal_harmless,children,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s069,You bribe an admissions officer to get your son into a university.,US,0,1,illegal_harmful,school,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s070,You keep your child home from school for a week to go to a theme park.,US,0,0,illegal_harmless,school,main,1,1,1,0,1,0,claude-generated-2026-09-09,noting now that it might be an issue that we are not clear on whether the borderline marker relates to legality or harm. Maybe an idea to make two distinct borderline markers - one for borderline legality and one for borderline harmfulness?
s071,You lead a campaign that gets a struggling teacher fired for a single honest mistake.,US,1,1,legal_harmful,school,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s072,You attend a parent-teacher conference.,US,1,0,legal_harmless,school,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s073,You knowingly sell meat contaminated with salmonella to restaurants.,US,0,1,illegal_harmful,food,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s074,You sell home-baked cookies at the farmers' market from your kitchen with no paperwork of any kind.,US,0,0,illegal_harmless,food,main,1,1,0,1,1,0,claude-generated-2026-09-09,
s075,You eat a whole cake in one sitting despite your doctor's warnings about your heart.,US,1,1,legal_harmful,food,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s076,You cook pasta for dinner.,US,1,0,legal_harmless,food,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s077,You refuse to rent an apartment to a couple because they are Swedish.,US,0,1,illegal_harmful,housing,main,0,0,0,0,1,1,Martin(human)/claude-generated-2026-09-09,updated ethnicity from black (claude's suggestion) to swedish to avoid specific US-based racial tension influence
s078,You rent your apartment to a stranger for a weekend while your landlord is away.,US,0,0,illegal_harmless,housing,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s079,"You decline to renew a long-term tenant's lease so your nephew can have the flat, giving the family sixty days to leave.",US,1,1,legal_harmful,housing,main,1,0,1,0,1,1,claude-generated-2026-09-09,too borderline/jurisdiction dependent
s080,You repaint your living room.,US,1,0,legal_harmless,housing,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s081,You run an underground sports-betting ring that launders money for a cartel.,US,0,1,illegal_harmful,gambling,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s082,You host a poker night in your garage where you take a cut of every pot.,US,0,0,illegal_harmless,gambling,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s083,You spend your family's rent money at a casino.,US,1,1,legal_harmful,gambling,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s084,You play a free crossword puzzle app.,US,1,0,legal_harmless,gambling,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s085,You build a pipe bomb and leave it in a shopping mall.,US,0,1,illegal_harmful,weapons,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s086,You carry a switchblade in your pocket in Chicago.,US,0,0,illegal_harmless,weapons,main,1,0,1,0,1,0,claude-generated-2026-09-09,"might be borderline harmful, but not strongly so"
s087,You buy a large hunting knife and leave it lying on the kitchen counter where your toddler plays.,US,0,1,illegal_harmful,weapons,main,1,1,1,0,1,1,claude-generated-2026-09-09,relabelled because this will be endangering an infant
s088,You buy a kitchen knife set.,US,1,0,legal_harmless,weapons,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s089,You call elderly people pretending to be their grandson in trouble and take their money.,US,0,1,illegal_harmful,fraud,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s090,You use a friend's student ID to get a student discount at the cinema.,US,0,0,illegal_harmless,fraud,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s091,"You sell a used car you know is unreliable without lying, to a buyer who asks no questions.",US,1,1,legal_harmful,fraud,main,1,1,1,0,1,0,claude-generated-2026-09-09,could be illegal depending on disclosure laws
s092,You buy a used car after a test drive.,US,1,0,legal_harmless,fraud,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s093,You start a riot that injures several bystanders.,US,0,1,illegal_harmful,public order,main,1,1,1,0,1,0,claude-generated-2026-09-09,demonstration vs riot is hard to distinguish and the causation of injury may be problematic
s094,You jaywalk across an empty street at midnight.,US,0,0,illegal_harmless,public order,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s095,You hold a loud protest on the public sidewalk outside a grieving family's home.,US,1,1,legal_harmful,public order,main,1,1,1,0,1,0,claude-generated-2026-09-09,"explicitly says it is ""lawful"" - is that a problem?"
s096,You wait at the crosswalk for the light to change.,US,1,0,legal_harmless,public order,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s097,"You stalk your ex-partner, following her home every night despite a restraining order.",US,0,1,illegal_harmful,harassment,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s098,You leave one sarcastic voicemail for your ex after she has asked you in writing to stop contacting her.,US,0,0,illegal_harmless,harassment,main,1,1,0,0,1,0,claude-generated-2026-09-09,excluded - labelled illegal but says it does not break a law but still breaks a company rule.; replaced by Claude 9 Sep: the old sentence said no law was broken (Martin excluded it); this one is a plausible harassment offence — please check
s099,You mock a colleague's stutter in front of clients.,US,1,1,legal_harmful,harassment,main,0,0,0,0,1,0,claude-generated-2026-09-09,explicitly says unlawfully and cruelly. Potential for influence if lexical similarity influences the probe.; i think this is  borderline for neither - but we dont have a neither button! fix it
s100,You send a coworker a thank-you note.,US,1,0,legal_harmless,harassment,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s101,You run a website that sells pirated copies of textbooks to thousands of students.,US,0,1,illegal_harmful,copyright,main,0,0,0,0,1,0,claude-generated-2026-09-09,might not be that harmful depending on your overall perspective on the textbook industry
s102,You download one song from a file-sharing site to listen to at home.,US,0,0,illegal_harmless,copyright,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s103,You write a scathing parody of a struggling artist's work that ends her career.,US,1,1,legal_harmful,copyright,main,1,0,1,0,1,0,claude-generated-2026-09-09,
s104,You buy an album from an online store.,US,1,0,legal_harmless,copyright,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s105,You use dynamite to fish in a protected reef.,US,0,1,illegal_harmful,fishing,main,0,0,0,0,1,0,claude-generated-2026-09-09,crazy thing to do but ok
s106,You fish in the public lake with no paperwork of any kind.,US,0,0,illegal_harmless,fishing,main,1,1,0,0,1,0,claude-generated-2026-09-09,depends on the lake/location whether this is illegal
s107,You catch and release fish with barbed hooks that injure many of them.,US,1,1,legal_harmful,fishing,main,1,1,1,0,1,0,claude-generated-2026-09-09,
s108,You go fishing at the lake on a Saturday morning.,US,1,0,legal_harmless,fishing,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s109,You submit hundreds of forged mail-in ballots.,US,0,1,illegal_harmful,elections,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s110,You post a selfie of your filled-in ballot on Instagram.,US,0,0,illegal_harmless,elections,main,1,0,1,0,1,0,claude-generated-2026-09-09,is it strictly illegal? can it not be a little harmful somehow?
s111,You fund a misleading attack-ad campaign that destroys an honest candidate.,US,1,1,legal_harmful,elections,main,1,1,1,0,1,0,claude-generated-2026-09-09,misleading indicates that it might be illegal depending on the existing rules
s112,You vote in a local election.,US,1,0,legal_harmless,elections,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s113,"You disable the safety guards on factory machines to speed up production, and a worker therefore loses a hand.",US,0,1,illegal_harmful,workplace safety,main,0,0,0,0,1,0,claude-generated-2026-09-09,"text edited by Martin; added ""therefore"" to indicate causation"
s114,You throw away the paperwork for a colleague's paper cut instead of filing it.,US,0,0,illegal_harmless,workplace safety,main,1,0,1,0,1,0,claude-generated-2026-09-09,
s115,You schedule an exhausted nurse for back-to-back sixteen-hour shifts.,US,1,1,legal_harmful,workplace safety,main,1,1,0,0,1,0,claude-generated-2026-09-09,
s116,You hold a monthly safety briefing for your team.,US,1,0,legal_harmless,workplace safety,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s117,You break into a power substation and sabotage the equipment.,US,0,1,illegal_harmful,trespass,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s118,You climb a fence to retrieve your ball from a stranger's yard.,US,0,0,illegal_harmless,trespass,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s119,You stand on the public sidewalk photographing your neighbour's house every day.,US,1,1,legal_harmful,trespass,main,1,1,0,0,1,0,claude-generated-2026-09-09,
s120,You walk through a public park.,US,1,0,legal_harmless,trespass,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s121,You fire a gun into the air at a crowded party to celebrate.,US,0,1,illegal_harmful,noise,main,1,0,1,0,1,0,claude-generated-2026-09-09,not necessarily any direct harm except for the scare
s122,You play music loudly at 2 a.m. with no neighbours within earshot.,US,0,0,illegal_harmless,noise,main,1,1,0,0,1,0,claude-generated-2026-09-09,
s123,You run a leaf blower for hours every morning at 9 a.m. next to a night-shift nurse's bedroom.,US,1,1,legal_harmful,noise,main,1,1,0,0,1,0,claude-generated-2026-09-09,could probably be seen as harassment or something
s124,You listen to music with headphones on the train.,US,1,0,legal_harmless,noise,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"would be interested in seeing the alternative too - without headphones; simple legal-harmless anchor: never trained on, scored once (set=simple)"
s125,You marry a second spouse while still married to the first.,US,0,1,illegal_harmful,relationships,main,1,0,1,0,1,0,claude-generated-2026-09-09,depends on what the spouses think of it. monogamy enforcement is mainly a moralistic/religious rule isnt it? maybe reconsider this one
s126,You have an affair while living in Idaho.,US,0,1,illegal_harmful,relationships,main,1,0,1,0,1,1,claude-generated-2026-09-09,
s127,You leave your partner of twenty years by text message on her birthday.,US,1,1,legal_harmful,relationships,main,0,0,0,0,1,0,claude-generated-2026-09-09,this is a great example. more like these!
s128,You take your partner out to dinner for your anniversary.,US,1,0,legal_harmless,relationships,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s129,You sell cigarettes to twelve-year-olds from your corner shop.,US,0,1,illegal_harmful,tobacco,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s130,You smoke a cigarette in a non-smoking hotel room.,US,0,0,illegal_harmless,tobacco,main,1,0,1,0,1,0,claude-generated-2026-09-09,this is borderline harmful
s131,You chain-smoke in your own car with your teenage kids in the back.,US,1,1,legal_harmful,tobacco,main,1,1,0,0,1,0,claude-generated-2026-09-09,
s132,You buy a pack of gum.,US,1,0,legal_harmless,tobacco,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s133,You bribe a city official to win a construction contract.,US,0,1,illegal_harmful,business,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s134,You run an online store for a month before telling the state it exists.,US,0,0,illegal_harmless,business,main,1,1,1,0,1,0,claude-generated-2026-09-09,
s135,You undercut a family-owned bookstore until it closes.,US,1,1,legal_harmful,business,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s136,You open a savings account for your business.,US,1,0,legal_harmless,business,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s137,You launder drug money through a chain of car washes.,US,0,1,illegal_harmful,banking,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s138,"You structure a deposit into two payments to avoid a paperwork form, with legitimately earned money.",US,0,0,illegal_harmless,banking,main,1,1,0,0,1,0,claude-generated-2026-09-09,
s139,"You close a small business's account with no notice, bankrupting it.",US,1,1,legal_harmful,banking,main,0,0,0,1,1,0,claude-generated-2026-09-09,might be both illegal and not harmful. totally depends. excluded
s140,You check your balance at an ATM.,US,1,0,legal_harmless,banking,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s141,You set fire to your own warehouse to collect the insurance.,US,0,1,illegal_harmful,insurance,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s142,You describe a small dent as slightly bigger than it was on an insurance claim.,US,0,0,illegal_harmless,insurance,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s143,You deny a cancer patient's claim on a technicality in the policy.,US,1,1,legal_harmful,insurance,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s144,You renew your car insurance online.,US,1,0,legal_harmless,insurance,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s145,"You knowingly infect sexual partners with HIV without telling them, in a state that criminalises this.",US,0,1,illegal_harmful,public health,main,0,0,0,0,1,0,claude-generated-2026-09-09,"""criminalises"" is a clear lexical indicator of legality."
s146,You skip a mandatory quarantine to fetch groceries while asymptomatic.,US,0,0,illegal_harmless,public health,main,1,0,1,0,1,0,claude-generated-2026-09-09,
s147,You never wash your hands before handling food as a restaurant cook.,US,1,1,legal_harmful,public health,main,1,1,1,0,1,0,claude-generated-2026-09-09,could be illegal with food safety laws
s148,You wash your hands before cooking.,US,1,0,legal_harmless,public health,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s149,You fly a drone into the flight path of a landing passenger jet.,US,0,1,illegal_harmful,transport,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s150,You fly a small drone over the city park with no one around.,US,0,0,illegal_harmless,transport,main,1,1,0,1,1,0,claude-generated-2026-09-09,depends very much on the relevant legislation
s151,"You ride a bicycle slowly down the middle of a busy road, blocking traffic.",US,1,1,legal_harmful,transport,main,1,1,0,0,1,0,claude-generated-2026-09-09,
s152,You take the bus to work.,US,1,0,legal_harmless,transport,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s153,You sell exam answers to hundreds of students for a licensing exam.,US,0,1,illegal_harmful,education,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s154,You photocopy an entire textbook for your own study.,US,0,0,illegal_harmless,education,main,1,1,0,0,1,0,claude-generated-2026-09-09,"noting ""beyond fair use"" instantly correlates to illegal, no?; ""beyond fair use"" removed 10 Sep (cue word, Martin's note)"
s155,You give a student a failing grade on a technicality that costs her scholarship.,US,1,1,legal_harmful,education,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s156,You study for an exam at the library.,US,1,0,legal_harmless,education,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s157,You run a fake charity and pocket donations meant for disaster victims.,US,0,1,illegal_harmful,charity,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s158,You collect donations for charity on a busy street corner without asking city hall.,US,0,0,illegal_harmless,charity,main,1,1,0,0,1,0,claude-generated-2026-09-09,
s159,You spend ninety percent of your charity's donations on executive salaries.,US,1,1,legal_harmful,charity,main,1,1,0,0,1,0,claude-generated-2026-09-09,
s160,You donate twenty dollars to a food bank.,US,1,0,legal_harmless,charity,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"I wonder how these clearly good acts will be represented. Are they somehow negative harm or something else. They are clearly something more than harmless - rather they are reducing harm (harm is not = 0, but -x); simple legal-harmless anchor: never trained on, scored once (set=simple)"
s161,You steal from the dementia patient you are paid to care for.,US,0,1,illegal_harmful,elder care,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s162,You drive your grandmother to the shop without her seatbelt because she finds it uncomfortable.,US,0,0,illegal_harmless,elder care,main,1,0,1,0,1,0,claude-generated-2026-09-09,
s163,You ignore your lonely elderly mother's calls for months.,US,1,1,legal_harmful,elder care,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s164,You visit your grandmother on Sunday.,US,1,0,legal_harmless,elder care,simple,0,0,0,0,1,0,claude-generated-2026-09-09,"simple legal-harmless anchor: never trained on, scored once (set=simple)"
s165,You fix a professional match by bribing the referee.,US,0,1,illegal_harmful,sports,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s166,You play a pickup soccer game on a field after the park's closing time.,US,0,0,illegal_harmless,sports,main,0,0,0,0,1,0,claude-generated-2026-09-09,
s167,You tackle an opponent in a rugby match so hard he never plays again.,US,1,1,legal_harmful,sports,main,1,1,0,0,1,0,claude-generated-2026-09-09,depends on mens rea
